epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,555.801,0.90174,1.08689,0.67649,1.0851,0.89358,0.80071,0.88404,0.59508,0.91026,0.81139,0.8963,0.58684,1.16392,1.44806,0.78429,1.2726,0.000416,0.000416,0.000416
42,567.75,0.86077,1.07926,0.63317,1.05679,0.90018,0.81851,0.89462,0.60279,0.89395,0.82918,0.90907,0.60409,1.11617,1.32881,0.71928,1.24517,0.0003764,0.0003764,0.0003764
43,579.604,0.87555,1.01306,0.60396,1.0497,0.88603,0.82562,0.90378,0.6145,0.90057,0.8363,0.91254,0.59928,1.11509,1.33867,0.71403,1.23598,0.0003368,0.0003368,0.0003368
44,591.431,0.83114,0.99405,0.57308,1.04283,0.89433,0.84332,0.90369,0.60657,0.90421,0.84342,0.91089,0.60522,1.1215,1.34063,0.70485,1.24807,0.0002972,0.0002972,0.0002972
45,603.251,0.81414,1.04204,0.56642,1.03232,0.90354,0.80003,0.89385,0.61206,0.92069,0.81495,0.90251,0.59572,1.10108,1.35762,0.70458,1.23749,0.0002576,0.0002576,0.0002576
46,615.261,0.81046,1.04591,0.57314,1.02185,0.88645,0.82918,0.89688,0.61566,0.90347,0.8363,0.90493,0.59896,1.09438,1.35311,0.68368,1.23882,0.000218,0.000218,0.000218
47,627.435,0.81392,0.98299,0.57185,1.04007,0.937,0.80071,0.89603,0.60133,0.92957,0.79715,0.9054,0.60242,1.11278,1.33509,0.6921,1.24211,0.0001784,0.0001784,0.0001784
48,639.342,0.77222,0.94302,0.55209,1.01453,0.94798,0.79004,0.90019,0.61856,0.93999,0.78292,0.90133,0.60555,1.0795,1.35264,0.6811,1.2276,0.0001388,0.0001388,0.0001388
49,651.267,0.77664,0.9266,0.54452,1.01746,0.91035,0.81851,0.90517,0.63081,0.91035,0.81851,0.90792,0.60866,1.07751,1.35639,0.66601,1.22945,9.92e-05,9.92e-05,9.92e-05
50,663.117,0.74882,0.94493,0.54246,1.01427,0.91627,0.81779,0.90446,0.62979,0.92418,0.82414,0.91172,0.61553,1.06601,1.33865,0.66188,1.22828,5.96e-05,5.96e-05,5.96e-05
