epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
94,1108.27,0.84363,1.02801,0.58055,1.01234,0.95045,0.75096,0.86668,0.59479,0.93972,0.74733,0.86582,0.59457,1.12739,1.44787,0.82993,1.24771,0.0010793,0.0010793,0.0010793
95,1119.94,0.81589,1.01528,0.57038,1.00417,0.92925,0.81495,0.90018,0.617,0.92576,0.79883,0.89716,0.60141,1.07596,1.41587,0.69547,1.24085,0.0010694,0.0010694,0.0010694
96,1131.6,0.79255,0.98422,0.55728,0.98599,0.89498,0.81882,0.88591,0.60891,0.89679,0.83486,0.89395,0.60472,1.11669,1.43147,0.7534,1.2518,0.0010595,0.0010595,0.0010595
97,1143.32,0.83784,1.02825,0.57548,0.99351,0.91568,0.79359,0.87629,0.59891,0.86342,0.83237,0.87929,0.57792,1.12281,1.43143,0.72805,1.267,0.0010496,0.0010496,0.0010496
98,1154.99,0.80513,0.99168,0.56588,1.0021,0.93783,0.80518,0.86998,0.59469,0.94293,0.82562,0.89172,0.58295,1.13516,1.50332,0.75513,1.32277,0.0010397,0.0010397,0.0010397
99,1166.8,0.81578,0.99617,0.56618,0.99948,0.9301,0.80494,0.89459,0.61161,0.90189,0.82206,0.89526,0.60201,1.07168,1.38458,0.73221,1.22874,0.0010298,0.0010298,0.0010298
100,1178.49,0.77293,0.94138,0.53943,0.97592,0.94955,0.82206,0.89591,0.61065,0.90996,0.85409,0.90135,0.59902,1.08305,1.41684,0.70194,1.24937,0.0010199,0.0010199,0.0010199
101,1190.15,0.81277,1.0006,0.55339,0.98623,0.9388,0.81883,0.88869,0.61451,0.93887,0.80783,0.88896,0.59899,1.07513,1.45419,0.73183,1.23144,0.00101,0.00101,0.00101
102,1201.69,0.78104,0.96875,0.54623,0.98023,0.94772,0.81139,0.88877,0.61601,0.95019,0.81461,0.89493,0.61558,1.09556,1.5208,0.71063,1.24588,0.0010001,0.0010001,0.0010001
103,1213.37,0.77834,0.95175,0.53738,0.98711,0.91744,0.83044,0.88335,0.59408,0.92528,0.83732,0.89657,0.59612,1.13962,1.46064,0.72504,1.31029,0.0009902,0.0009902,0.0009902
104,1224.98,0.78025,0.94559,0.55629,0.97814,0.91374,0.82935,0.88967,0.6004,0.93552,0.81139,0.89175,0.58808,1.13345,1.48778,0.73167,1.28987,0.0009803,0.0009803,0.0009803
105,1236.57,0.79078,0.96473,0.56595,0.99008,0.93716,0.80071,0.89468,0.62136,0.93703,0.80427,0.89834,0.60961,1.08025,1.44867,0.68451,1.24025,0.0009704,0.0009704,0.0009704
106,1248.27,0.78385,0.96059,0.54803,0.98823,0.94353,0.81495,0.89269,0.63149,0.92396,0.82156,0.89434,0.61052,1.08931,1.54439,0.69407,1.24648,0.0009605,0.0009605,0.0009605
107,1260.12,0.76933,0.95263,0.5434,0.97772,0.93523,0.82218,0.90409,0.61975,0.93531,0.81851,0.90394,0.61293,1.06607,1.39043,0.68777,1.21844,0.0009506,0.0009506,0.0009506
108,1272.33,0.7851,0.92816,0.54925,0.98011,0.94041,0.82206,0.88403,0.61375,0.93544,0.82504,0.89859,0.59869,1.08221,1.47369,0.73682,1.24263,0.0009407,0.0009407,0.0009407
109,1284.35,0.79376,0.92843,0.5486,0.99291,0.92047,0.82918,0.89577,0.62546,0.93503,0.81949,0.89289,0.6062,1.05743,1.40711,0.71504,1.24001,0.0009308,0.0009308,0.0009308
110,1295.98,0.78497,0.96047,0.54771,0.98574,0.91855,0.84698,0.9038,0.63443,0.90697,0.8363,0.89841,0.61232,1.04843,1.40954,0.70741,1.23706,0.0009209,0.0009209,0.0009209
111,1307.8,0.78016,0.95085,0.55253,0.97277,0.92512,0.83541,0.89235,0.62144,0.91707,0.82641,0.89691,0.61555,1.10244,1.46258,0.70465,1.27384,0.000911,0.000911,0.000911
112,1319.63,0.77913,0.91135,0.54848,0.98434,0.95103,0.82942,0.9108,0.62369,0.93486,0.81716,0.90799,0.61239,1.07647,1.52934,0.69086,1.2594,0.0009011,0.0009011,0.0009011
113,1331.52,0.74487,0.91615,0.52408,0.97409,0.95191,0.7758,0.89402,0.64042,0.90838,0.81148,0.90191,0.61611,1.0319,1.35682,0.71401,1.238,0.0008912,0.0008912,0.0008912
114,1343.3,0.7497,0.90488,0.52061,0.96587,0.93756,0.80783,0.89046,0.63176,0.93048,0.80427,0.88921,0.61749,1.05941,1.42697,0.70425,1.22723,0.0008813,0.0008813,0.0008813
115,1354.99,0.76873,0.962,0.53588,0.97085,0.90032,0.83575,0.88928,0.62414,0.89873,0.82206,0.88305,0.60095,1.0414,1.43599,0.70102,1.22582,0.0008714,0.0008714,0.0008714
116,1366.85,0.72644,0.89889,0.51787,0.96141,0.92019,0.82061,0.88506,0.61509,0.92418,0.82417,0.89854,0.60245,1.11955,1.48579,0.70999,1.27717,0.0008615,0.0008615,0.0008615
117,1378.73,0.75547,0.90884,0.52754,0.96557,0.87682,0.86127,0.89577,0.6279,0.87853,0.85765,0.90099,0.61473,1.06871,1.44618,0.70452,1.25803,0.0008516,0.0008516,0.0008516
118,1390.52,0.77325,0.91087,0.53526,0.9717,0.95185,0.81851,0.90874,0.62837,0.9432,0.81139,0.89714,0.609,1.07576,1.46098,0.71003,1.2727,0.0008417,0.0008417,0.0008417
119,1402.28,0.74275,0.90568,0.53067,0.96685,0.93204,0.82562,0.90171,0.63395,0.93829,0.81164,0.89587,0.62895,1.08014,1.3693,0.68558,1.24606,0.0008318,0.0008318,0.0008318
120,1414.25,0.74521,0.93921,0.53633,0.9728,0.92373,0.82562,0.89838,0.62681,0.91641,0.81926,0.89949,0.61333,1.04671,1.47119,0.67998,1.21278,0.0008219,0.0008219,0.0008219
121,1426.05,0.75657,0.90445,0.52542,0.9713,0.93542,0.82475,0.91176,0.64202,0.93951,0.82206,0.91261,0.62226,1.04999,1.43791,0.67435,1.23504,0.000812,0.000812,0.000812
122,1438.03,0.73803,0.91189,0.50587,0.9614,0.91874,0.84698,0.90228,0.64364,0.94996,0.81073,0.9055,0.61487,1.01006,1.35631,0.68616,1.22741,0.0008021,0.0008021,0.0008021
123,1449.84,0.74448,0.90784,0.52448,0.96638,0.86814,0.86694,0.90277,0.6408,0.87522,0.87368,0.90445,0.63129,1.06214,1.40109,0.67516,1.25206,0.0007922,0.0007922,0.0007922
124,1461.57,0.72631,0.897,0.50819,0.95813,0.96242,0.79004,0.89559,0.63816,0.91371,0.82903,0.8972,0.61312,1.0604,1.43284,0.69954,1.23538,0.0007823,0.0007823,0.0007823
125,1473.43,0.74451,0.90997,0.52705,0.96323,0.92848,0.82918,0.90763,0.6283,0.92974,0.80071,0.89581,0.6035,1.05111,1.38023,0.69305,1.24202,0.0007724,0.0007724,0.0007724
126,1485.25,0.72796,0.89251,0.51284,0.96053,0.90181,0.84977,0.90074,0.62914,0.88651,0.86173,0.90732,0.6094,1.06354,1.46617,0.68892,1.26654,0.0007625,0.0007625,0.0007625
127,1497.09,0.72576,0.90083,0.51036,0.95685,0.92278,0.85051,0.90203,0.65087,0.91892,0.84696,0.90423,0.63948,1.03673,1.39819,0.66519,1.23957,0.0007526,0.0007526,0.0007526
128,1508.89,0.71725,0.88781,0.49727,0.95134,0.90761,0.839,0.89678,0.65152,0.91148,0.84276,0.91142,0.62441,1.02042,1.41079,0.67006,1.23292,0.0007427,0.0007427,0.0007427
129,1520.69,0.69872,0.87806,0.4858,0.94617,0.9353,0.82309,0.90561,0.632,0.93233,0.82562,0.90334,0.62445,1.05298,1.36855,0.6572,1.26415,0.0007328,0.0007328,0.0007328
