epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
48,619.721,1.02018,1.25454,0.74108,1.09015,0.90235,0.78926,0.86629,0.5252,0.88618,0.77579,0.8542,0.53254,1.28186,1.59037,0.82934,1.35472,0.0015347,0.0015347,0.0015347
49,631.885,0.98945,1.24762,0.73524,1.08369,0.89582,0.79359,0.88176,0.55241,0.89452,0.78465,0.87886,0.55237,1.23427,1.53325,0.81578,1.32141,0.0015248,0.0015248,0.0015248
50,643.812,1.04008,1.2803,0.7431,1.1103,0.85527,0.77809,0.85305,0.51518,0.85519,0.7758,0.83888,0.52064,1.31823,1.53477,0.87123,1.34882,0.0015149,0.0015149,0.0015149
51,656.104,0.99797,1.22434,0.73234,1.09342,0.89596,0.7758,0.87057,0.53335,0.87144,0.77191,0.86517,0.54167,1.31576,1.51047,0.84735,1.35115,0.001505,0.001505,0.001505
52,668.439,1.02363,1.22739,0.74044,1.09578,0.90747,0.73296,0.86013,0.57032,0.91645,0.73665,0.87222,0.55694,1.24196,1.4782,0.81499,1.31485,0.0014951,0.0014951,0.0014951
53,680.6,0.98275,1.18519,0.70752,1.08671,0.87734,0.81453,0.88029,0.56129,0.8712,0.81838,0.87531,0.54581,1.25223,1.49011,0.79211,1.3122,0.0014852,0.0014852,0.0014852
54,692.697,0.98166,1.17794,0.70515,1.08717,0.8487,0.77855,0.85774,0.55678,0.82372,0.79819,0.85889,0.55245,1.25226,1.5947,0.83029,1.2993,0.0014753,0.0014753,0.0014753
55,704.715,0.98137,1.21093,0.71758,1.08163,0.88891,0.80071,0.88239,0.56045,0.8755,0.81495,0.87968,0.56941,1.25406,1.47913,0.81976,1.32967,0.0014654,0.0014654,0.0014654
56,754.927,0.9836,1.17886,0.7003,1.07634,0.87114,0.79393,0.85981,0.55851,0.87754,0.79058,0.86633,0.55493,1.20059,1.59298,0.82565,1.29188,0.0014555,0.0014555,0.0014555
57,767.158,0.96245,1.17093,0.70336,1.0778,0.91528,0.78292,0.87022,0.54011,0.89347,0.81139,0.87869,0.54436,1.27558,1.53921,0.85784,1.33264,0.0014456,0.0014456,0.0014456
58,778.876,0.96488,1.16583,0.70486,1.0668,0.8739,0.71519,0.80068,0.51147,0.8364,0.70463,0.79942,0.48645,1.32685,1.76493,1.01151,1.37326,0.0014357,0.0014357,0.0014357
59,791,0.98187,1.15251,0.69834,1.07332,0.87978,0.78131,0.86094,0.55579,0.88423,0.78822,0.86294,0.55776,1.23677,1.48736,0.85924,1.29637,0.0014258,0.0014258,0.0014258
60,803.175,0.95308,1.15258,0.69734,1.07351,0.94078,0.74377,0.87035,0.55338,0.92286,0.76639,0.88054,0.57128,1.25839,1.57056,0.80499,1.38202,0.0014159,0.0014159,0.0014159
61,815.882,0.92904,1.15406,0.67025,1.04951,0.8959,0.76568,0.87537,0.53819,0.85681,0.78788,0.85688,0.55651,1.25104,1.52504,0.81477,1.33344,0.001406,0.001406,0.001406
62,827.746,0.94121,1.19256,0.68048,1.0578,0.8594,0.77936,0.85111,0.54577,0.84895,0.76868,0.8459,0.55125,1.26317,1.55394,0.87132,1.31266,0.0013961,0.0013961,0.0013961
